가로등위치,설치개수,소재지도로명주소,소재지지번주소,위도,경도,램프종류,관리기관전화번호,관리기관명,데이터기준일자
002-09,2,강원특별자치도 춘천시 신북읍 율문리 285-4,강원특별자치도 춘천시 신북읍 율문리 285-4,37.92523575,127.7472382,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-10,2,강원특별자치도 춘천시 신북읍 율문리 286-1,강원특별자치도 춘천시 신북읍 율문리 286-1,37.92529261,127.7468884,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-11,1,강원특별자치도 춘천시 신북읍 율문리 288-1,강원특별자치도 춘천시 신북읍 율문리 288-1,37.92540359,127.7464294,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-12,2,강원특별자치도 춘천시 신북읍 율문리 293-1,강원특별자치도 춘천시 신북읍 율문리 293-1,37.92549133,127.7458801,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-13,2,강원특별자치도 춘천시 신북읍 율문리 551-1,강원특별자치도 춘천시 신북읍 율문리 551-1,37.92556084,127.7454353,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-14,2,강원특별자치도 춘천시 신북읍 율문리 553-12,강원특별자치도 춘천시 신북읍 율문리 553-12,37.92565186,127.7449329,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-15,2,강원특별자치도 춘천시 신북읍 율문리 554-2,강원특별자치도 춘천시 신북읍 율문리 554-2,37.92574737,127.744432,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-16,2,강원특별자치도 춘천시 신북읍 율문리 555-1,강원특별자치도 춘천시 신북읍 율문리 555-1,37.92583642,127.7438842,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-17,2,강원특별자치도 춘천시 신북읍 율문리 558-5,강원특별자치도 춘천시 신북읍 율문리 558-5,37.92588425,127.7434082,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-18,1,강원특별자치도 춘천시 신북읍 율문리 561-6,강원특별자치도 춘천시 신북읍 율문리 561-6,37.92580795,127.742897,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-19,1,강원특별자치도 춘천시 신북읍 율문리 912,강원특별자치도 춘천시 신북읍 율문리 912,37.92569733,127.7423859,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-20,1,강원특별자치도 춘천시 신북읍 율문리 577-2,강원특별자치도 춘천시 신북읍 율문리 577-2,37.92549515,127.7419968,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-21,1,강원특별자치도 춘천시 신북읍 율문리 산 9,강원특별자치도 춘천시 신북읍 율문리 산 9,37.92526245,127.7418137,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-22,1,강원특별자치도 춘천시 신북읍 율문리 산 9,강원특별자치도 춘천시 신북읍 율문리 산 9,37.9249115,127.7418289,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-23,1,강원특별자치도 춘천시 신북읍 율문리 산 9,강원특별자치도 춘천시 신북읍 율문리 산 9,37.92452621,127.7417679,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-24,1,강원특별자치도 춘천시 신북읍 율문리 산 9,강원특별자치도 춘천시 신북읍 율문리 산 9,37.92419434,127.7417221,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-25,1,강원특별자치도 춘천시 신북읍 율문리 산 9,강원특별자치도 춘천시 신북읍 율문리 산 9,37.92388535,127.7416687,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-26,1,강원특별자치도 춘천시 신북읍 율문리 산 10-3,강원특별자치도 춘천시 신북읍 율문리 산 10-3,37.92360306,127.7416458,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-27,1,강원특별자치도 춘천시 신북읍 율문리 산 10-3,강원특별자치도 춘천시 신북읍 율문리 산 10-3,37.92330933,127.7416306,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-28,1,강원특별자치도 춘천시 신북읍 율문리 산 10,강원특별자치도 춘천시 신북읍 율문리 산 10,37.92301178,127.7416306,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-29,1,강원특별자치도 춘천시 신북읍 율문리 산 10,강원특별자치도 춘천시 신북읍 율문리 산 10,37.92271423,127.7416306,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-30,1,강원특별자치도 춘천시 신북읍 율문리 935-52,강원특별자치도 춘천시 신북읍 율문리 935-52,37.92494202,127.7460098,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-31,1,강원특별자치도 춘천시 신북읍 율문리 935-56,강원특별자치도 춘천시 신북읍 율문리 935-56,37.92463303,127.7459412,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-32,1,강원특별자치도 춘천시 신북읍 율문리 935-209,강원특별자치도 춘천시 신북읍 율문리 935-209,37.92431641,127.7460022,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-33,1,강원특별자치도 춘천시 신북읍 율문리 935-52,강원특별자치도 춘천시 신북읍 율문리 935-52,37.92394257,127.7461014,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-01,1,강원특별자치도 춘천시 우두동 47-4,강원특별자치도 춘천시 우두동 47-4,37.9209404,127.7397079,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-02,1,강원특별자치도 춘천시 우두동 3-3,강원특별자치도 춘천시 우두동 3-3,37.92117691,127.7398987,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-03,1,강원특별자치도 춘천시 우두동 2-3,강원특별자치도 춘천시 우두동 2-3,37.92139816,127.7401199,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-04,1,강원특별자치도 춘천시 우두동 2-3,강원특별자치도 춘천시 우두동 2-3,37.92160034,127.7403793,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-05,1,강원특별자치도 춘천시 우두동 2-4,강원특별자치도 춘천시 우두동 2-4,37.92177963,127.740654,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-06,1,강원특별자치도 춘천시 우두동 2-4,강원특별자치도 춘천시 우두동 2-4,37.92192078,127.7409592,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-07,1,강원특별자치도 춘천시 우두동 2-4,강원특별자치도 춘천시 우두동 2-4,37.92203903,127.7412567,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-08,1,강원특별자치도 춘천시 우두동 산 3-2,강원특별자치도 춘천시 우두동 산 3-2,37.92214584,127.7415771,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-09,1,강원특별자치도 춘천시 우두동 766-3,강원특별자치도 춘천시 우두동 766-3,37.92226028,127.7419128,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-10,1,강원특별자치도 춘천시 우두동 766-3,강원특별자치도 춘천시 우두동 766-3,37.92240906,127.7424011,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-11,1,강원특별자치도 춘천시 우두동 766-3,강원특별자치도 춘천시 우두동 766-3,37.92255402,127.7428665,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-12,1,강원특별자치도 춘천시 우두동 766-38,강원특별자치도 춘천시 우두동 766-38,37.9227066,127.7433472,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-13,1,강원특별자치도 춘천시 우두동 766-29,강원특별자치도 춘천시 우두동 766-29,37.92284012,127.7438126,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-14,1,강원특별자치도 춘천시 우두동 766-12,강원특별자치도 춘천시 우두동 766-12,37.92299652,127.7442932,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-15,1,강원특별자치도 춘천시 우두동 766-31,강원특별자치도 춘천시 우두동 766-31,37.92314148,127.7447586,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-16,1,강원특별자치도 춘천시 신북읍 율문리 935-194,강원특별자치도 춘천시 신북읍 율문리 935-194,37.92328262,127.7452469,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-17,1,강원특별자치도 춘천시 신북읍 율문리 935-194,강원특별자치도 춘천시 신북읍 율문리 935-194,37.92341995,127.7457428,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-18,1,강원특별자치도 춘천시 신북읍 율문리 935-192,강원특별자치도 춘천시 신북읍 율문리 935-192,37.9235611,127.7462006,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-19,1,강원특별자치도 춘천시 신북읍 율문리 935-170,강원특별자치도 춘천시 신북읍 율문리 935-170,37.9236908,127.7466965,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-20,1,강원특별자치도 춘천시 신북읍 율문리 935-169,강원특별자치도 춘천시 신북읍 율문리 935-169,37.92380905,127.7471848,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-21,1,강원특별자치도 춘천시 신북읍 율문리 935-34,강원특별자치도 춘천시 신북읍 율문리 935-34,37.92394257,127.7476654,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-22,1,강원특별자치도 춘천시 신북읍 율문리 935-168,강원특별자치도 춘천시 신북읍 율문리 935-168,37.9240799,127.7481461,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-23,1,강원특별자치도 춘천시 신북읍 율문리 935-24,강원특별자치도 춘천시 신북읍 율문리 935-24,37.92419052,127.748642,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-24,1,강원특별자치도 춘천시 신북읍 율문리 935-197,강원특별자치도 춘천시 신북읍 율문리 935-197,37.92433548,127.7491074,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-25,1,강원특별자치도 춘천시 신북읍 율문리 935-16,강원특별자치도 춘천시 신북읍 율문리 935-16,37.92440796,127.7495041,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
003-26,1,강원특별자치도 춘천시 신북읍 율문리 274-4,강원특별자치도 춘천시 신북읍 율문리 274-4,37.92468839,127.7503455,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-01,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92193604,127.7512436,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-02,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92228317,127.7513123,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-03,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92262268,127.751358,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-04,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92295837,127.7514343,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-05,1,강원특별자치도 춘천시 신북읍 율문리 935,강원특별자치도 춘천시 신북읍 율문리 935,37.9233017,127.7514954,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-06,1,강원특별자치도 춘천시 신북읍 율문리 935-227,강원특별자치도 춘천시 신북읍 율문리 935-227,37.92363358,127.751564,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-07,1,강원특별자치도 춘천시 신북읍 율문리 935-202,강원특별자치도 춘천시 신북읍 율문리 935-202,37.92397308,127.7516022,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-08,1,강원특별자치도 춘천시 신북읍 율문리 935-204,강원특별자치도 춘천시 신북읍 율문리 935-204,37.92438507,127.7516861,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-09,1,강원특별자치도 춘천시 신북읍 율문리 273-25,강원특별자치도 춘천시 신북읍 율문리 273-25,37.92473602,127.7517548,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-10,1,강원특별자치도 춘천시 신북읍 율문리 273-23,강원특별자치도 춘천시 신북읍 율문리 273-23,37.92504883,127.7518082,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-11,1,강원특별자치도 춘천시 신북읍 율문리 909-70,강원특별자치도 춘천시 신북읍 율문리 909-70,37.92533875,127.7520981,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-13,1,강원특별자치도 춘천시 신북읍 율문리 909-55,강원특별자치도 춘천시 신북읍 율문리 909-55,37.92495346,127.7509689,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-14,1,강원특별자치도 춘천시 신북읍 율문리 909-63,강원특별자치도 춘천시 신북읍 율문리 909-63,37.92504883,127.7513123,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-15,1,강원특별자치도 춘천시 신북읍 율문리 273-23,강원특별자치도 춘천시 신북읍 율문리 273-23,37.92482758,127.7514877,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-16,1,강원특별자치도 춘천시 신북읍 율문리 935-206,강원특별자치도 춘천시 신북읍 율문리 935-206,37.92446136,127.7514038,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-17,1,강원특별자치도 춘천시 신북읍 율문리 935-202,강원특별자치도 춘천시 신북읍 율문리 935-202,37.92405319,127.7513351,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-18,1,강원특별자치도 춘천시 신북읍 율문리 935,강원특별자치도 춘천시 신북읍 율문리 935,37.92367935,127.7512512,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-19,1,강원특별자치도 춘천시 신북읍 율문리 935,강원특별자치도 춘천시 신북읍 율문리 935,37.9233284,127.7511902,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-20,1,강원특별자치도 춘천시 신북읍 율문리 935,강원특별자치도 춘천시 신북읍 율문리 935,37.92299271,127.7511292,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-21,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92264938,127.7510757,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-22,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92230606,127.7510147,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-23,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92196655,127.7509537,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
004-24,1,강원특별자치도 춘천시 동면 장학리 896,강원특별자치도 춘천시 동면 장학리 896,37.92163849,127.7509079,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-01,1,강원특별자치도 춘천시 동면 장학리 산 67-2,강원특별자치도 춘천시 동면 장학리 산 67-2,37.91769409,127.7517776,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-02,1,강원특별자치도 춘천시 동면 장학리 산 67-2,강원특별자치도 춘천시 동면 장학리 산 67-2,37.91770554,127.7509613,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-03,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91792679,127.7507858,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-04,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.9182663,127.7507324,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-05,1,강원특별자치도 춘천시 동면 장학리 산 68-1,강원특별자치도 춘천시 동면 장학리 산 68-1,37.91862106,127.7507095,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-06,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91897964,127.7507324,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-07,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91936111,127.7508087,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-08,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.91973877,127.7508698,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-09,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.9201088,127.7509384,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-10,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92048645,127.7509995,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-11,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92085648,127.7510605,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-12,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92124557,127.7511444,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-13,1,강원특별자치도 춘천시 동면 장학리 산 65-3,강원특별자치도 춘천시 동면 장학리 산 65-3,37.92160034,127.7511902,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-14,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92126846,127.7508469,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-15,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92089462,127.7507858,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-16,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92050934,127.7507019,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-17,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.92014313,127.7506409,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-18,1,강원특별자치도 춘천시 동면 장학리 산 69-2,강원특별자치도 춘천시 동면 장학리 산 69-2,37.9197731,127.7505722,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-19,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91943359,127.7505035,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-20,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91899109,127.7504044,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-21,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91862488,127.7503891,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-22,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91825485,127.7504196,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-23,1,강원특별자치도 춘천시 동면 장학리 449-6,강원특별자치도 춘천시 동면 장학리 449-6,37.91792679,127.7504883,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-24,1,강원특별자치도 춘천시 동면 장학리 449-8,강원특별자치도 춘천시 동면 장학리 449-8,37.9176445,127.7504196,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-25,1,강원특별자치도 춘천시 동면 장학리 456-7,강원특별자치도 춘천시 동면 장학리 456-7,37.91747284,127.7501755,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
005-26,1,강원특별자치도 춘천시 동면 장학리 456-5,강원특별자치도 춘천시 동면 장학리 456-5,37.91736984,127.7498703,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-01,1,강원특별자치도 춘천시 우두동 533-6,강원특별자치도 춘천시 우두동 533-6,37.91440349,127.739452,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-02,1,강원특별자치도 춘천시 우두동 139-1,강원특별자치도 춘천시 우두동 139-1,37.91481122,127.7394418,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-03,1,강원특별자치도 춘천시 우두동 557-9,강원특별자치도 춘천시 우두동 557-9,37.91524481,127.7394391,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-04,1,강원특별자치도 춘천시 우두동 557-1,강원특별자치도 춘천시 우두동 557-1,37.91567045,127.7394462,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-05,1,강원특별자치도 춘천시 우두동 558-5,강원특별자치도 춘천시 우두동 558-5,37.91610626,127.7394477,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-06,1,강원특별자치도 춘천시 우두동 561-5,강원특별자치도 춘천시 우두동 561-5,37.91651529,127.7394106,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-07,1,강원특별자치도 춘천시 우두동 563-4,강원특별자치도 춘천시 우두동 563-4,37.91693986,127.7394091,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-08,1,강원특별자치도 춘천시 우두동 563-4,강원특별자치도 춘천시 우두동 563-4,37.91737345,127.7394063,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-09,1,강원특별자치도 춘천시 우두동 37-1,강원특별자치도 춘천시 우두동 37-1,37.91780144,127.7393978,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-10,1,강원특별자치도 춘천시 우두동 1-1,강원특별자치도 춘천시 우두동 1-1,37.91831963,127.7393718,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-11,1,강원특별자치도 춘천시 우두동 41-3,강원특별자치도 춘천시 우두동 41-3,37.918715,127.7393572,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-12,1,강원특별자치도 춘천시 우두동 50-4,강원특별자치도 춘천시 우두동 50-4,37.91917801,127.7393417,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-13,1,강원특별자치도 춘천시 우두동 43-7,강원특별자치도 춘천시 우두동 43-7,37.91956989,127.7393359,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-14,1,강원특별자치도 춘천시 우두동 44-2,강원특별자치도 춘천시 우두동 44-2,37.92005847,127.7393636,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-15,1,강원특별자치도 춘천시 우두동 44-5,강원특별자치도 춘천시 우두동 44-5,37.92026901,127.7394257,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-16,1,강원특별자치도 춘천시 우두동 17-5,강원특별자치도 춘천시 우두동 17-5,37.92034149,127.7392273,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-17,1,강원특별자치도 춘천시 우두동 5-3,강원특별자치도 춘천시 우두동 5-3,37.92020798,127.7391205,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-18,1,강원특별자치도 춘천시 우두동 18-5,강원특별자치도 춘천시 우두동 18-5,37.91981888,127.7391394,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-19,1,강원특별자치도 춘천시 우두동 20-8,강원특별자치도 춘천시 우두동 20-8,37.91938735,127.7391735,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-20,1,강원특별자치도 춘천시 우두동 1044,강원특별자치도 춘천시 우두동 1044,37.9189075,127.73919,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-21,1,강원특별자치도 춘천시 우두동 1044,강원특별자치도 춘천시 우두동 1044,37.91845698,127.7391997,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-22,1,강원특별자치도 춘천시 우두동 1-1,강원특별자치도 춘천시 우두동 1-1,37.91798833,127.7392263,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-23,1,강원특별자치도 춘천시 우두동 1-1,강원특별자치도 춘천시 우두동 1-1,37.9175592,127.7392362,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
006-24,1,강원특별자치도 춘천시 우두동 1-1,강원특별자치도 춘천시 우두동 1-1,37.91715264,127.7392392,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
